Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [Hashtag Sweets],Price [Hashtag Sweets],In stock [Hashtag Sweets],Low stock [Hashtag Sweets]
number-candle,10175,Number Candle,Cake Toppers & Candles,,N,,,,,,,2.50,,,,Y,Y,5.00,216.000,
painting-set,10179,Painting Set,Stationery,,N,,,,,,,7.00,,,,Y,Y,7.00,6.000,0.000
panda-squeezing-,10180,Panda squeezing,Toys & Games,,N,,,,,,,4.50,,,,N,Y,9.00,,
paper-bag-kuromi,10181,Paper Bag Kuromi,Packaging,,N,,,,,,,2.00,,,,N,Y,5.00,,
party-happy-birthday-candle,10296,party happy birthday candle,Cake Toppers & Candles,,N,,,,,,,3.90,,,,N,Y,3.90,,
pen-sanrio-bulu,10034,Pen sanrio bulu,Others,,N,,,,,,,9.00,,,,Y,Y,variable,16.000,
pencil-box,10297,pencil box,Stationery,,N,,,,,,,4.00,,,,Y,Y,8.00,1.000,0.000
pencil-box-1,10298,pencil box,Stationery,,N,,,,,,,5.00,,,,N,Y,10.00,,
pencil-box-2,10368,Pencil box,Stationery,,N,,,,,,,0.00,,,,Y,Y,9.00,3.000,
pencil-box-set,10187,Pencil box set,Stationery,,N,,,,,,,19.00,,,,Y,Y,15.00,2.000,
pencil-case-small-,10184,Pencil Case Small,Stationery,,N,,,,,,,4.50,,,,N,Y,9.00,,
pendang-pen,10188,Pendang pen,Stationery,,N,,,,,,,9.00,,,,Y,Y,9.00,1.000,
pepsi-can,10189,Pepsi Can,Drinks,,N,,,,,,,2.90,,,,N,Y,2.90,,
pez-mario,10177,PEZ Mario,Candy Toys (YLF),,N,,,,,,,8.00,,,,N,Y,13.50,,
piggy,10315,Piggy,Toys & Games,,N,,,,,,,0.00,,,,N,Y,15.00,,
pikachu,10190,Pikachu,Keychains & Accessories,,N,,,,,,,0.00,,,,N,Y,15.00,,
pinball-game-sanrio,10191,Pinball game sanrio,Toys & Games,,N,,,,,,,15.00,3,,,N,Y,15.00,,
plastic-bag,10192,Plastic bag,Packaging,,N,,,,,,,0.00,,,,N,Y,0.20,,
popping-candy,10193,Popping Candy,Candy Toys (YLF),,N,,,,,,,1.00,,,,N,Y,1.90,,
premium-bento-cake,10194,Premium Bento cake,Bento Cakes,,N,,,,,,,15.00,,,,Y,Y,29.00,25.000,0.000
premium-diary,10110,Premium diary,Stationery,,N,,,,,,,0.00,,,,Y,Y,10.00,6.000,
pressure-car-duck/-hello-kitty,10195,Pressure car duck/ hello kitty,Toys & Games,,N,,,,,,,5.60,,,,Y,Y,15.00,0.000,0.000
princess-ariel-,10196,Princess Ariel,Cartoon Cakes,,N,,,,,,,65.00,,,,N,Y,99.00,,
princess-belle-cake,10197,Princess Belle Cake,Cartoon Cakes,,N,,,,,,,65.00,,,,N,Y,99.00,,
princess-cinderella-,10178,PRINCESS CINDERELLA,Cartoon Cakes,,N,,,,,,,65.00,,,,N,Y,99.00,,
princess-surprise-ball,10198,Princess Surprise Ball,Candy Toys (YLF),,N,,,,,,,5.50,,,,N,Y,8.90,,
eggs,10318,Pull back wheel,Toys & Games,,N,,,,,,,0.00,,,,Y,Y,5.00,21.000,0.000
puzzle-caterpillar-,10199,Puzzle caterpillar,Toys & Games,,N,,,,,,,3.00,,,,N,Y,9.00,,
racing-car,10201,Racing Car,Candy Toys (YLF),,N,,,,,,,5.00,,,,N,Y,9.90,,
racing-car-1,10202,Racing car,Toys & Games,,N,,,,,,,0.00,,,,N,Y,9.00,,
rainbow-pen,10200,RAINBOW PEN,Stationery,,N,,,,,,,2.50,,,,N,Y,5.00,,
raspberry-red-velvet,10029,Raspberry red velvet,Cakes,,N,,,,,,,0.00,,,,N,Y,79.00,,
rescue-car,10205,Rescue Car,Candy Toys (YLF),,N,,,,,,,4.30,,,,N,Y,6.90,,
ring,10359,Ring,Jewellery & Accessories,,N,,,,,,,0.00,,,,Y,Y,2.00,468.000,0.000
robot-car,10355,Robot car,Toys & Games,,N,,,,,,,0.00,,,,N,Y,15.00,,
rocky-caramel-,10206,Rocky Caramel,Gummies & Candy,,N,,,,,,,1.00,,,,N,Y,2.00,,
salted-caramel-chocolate--1,10209,Salted Caramel Chocolate,Cakes,,N,,,,,,,50.00,,,,N,Y,79.00,,
sanrio-bags,10165,Sanrio bags,Bags & Wallets,,N,,,,,,,5.00,,,,Y,Y,5.00,5.000,
sanrio-card,10214,Sanrio card,Toys & Games,,N,,,,,,,5.00,,,,N,Y,9.00,,
sanrio-color-book,10299,sanrio color book,Stationery,,N,,,,,,,7.00,,,,N,Y,7.00,,
sanrio-bags-1,10258,Sanrio cute bags,Bags & Wallets,,N,,,,,,,0.00,,,,Y,Y,19.00,8.000,0.000
sanrio-eraser,10215,Sanrio eraser,Stationery,,N,,,,,,,3.00,,,,Y,Y,5.00,43.000,
sanrio-hair-clips&-hairbands,10015,Sanrio Hair band,Hair Accessories,,N,,,,,,,3.00,,,,Y,Y,3.00,47.000,0.000
sanrio-hair-clips,10241,Sanrio hair clips,Hair Accessories,,N,,,,,,,0.00,,,,Y,Y,3.00,34.000,
sanrio-keychain-2,10176,Sanrio keychain,Keychains & Accessories,,N,,,,,,,0.00,,,,Y,Y,15.00,4.000,
sanrio-magnestism,10217,Sanrio magnestism,Keychains & Accessories,,N,,,,,,,5.00,6951458218957,,,N,Y,5.00,,
sanrio-magnetic-keychains,10372,Sanrio magnetic keychains,Keychains & Accessories,,N,,,,,,,12.90,,,,N,Y,variable,,
sanrio-note-book,10210,Sanrio Note book,Stationery,,N,,,,,,,4.50,,,,N,Y,9.00,,
sanrio-pen,10218,Sanrio pen,Stationery,,N,,,,,,,7.00,,,,N,Y,7.00,,
sanrio-rings,10211,Sanrio Rings,Jewellery & Accessories,,N,,,,,,,0.00,,,,Y,Y,5.00,43.000,
pencil-sharpeners,10186,Sanrio Sharpeners,Stationery,,N,,,,,,,0.00,,,,Y,Y,5.00,41.000,0.000
sanrio-keychain,10216,Sanrio small keychain,Keychains & Accessories,,N,,,,,,,4.00,,,,Y,Y,4.00,65.000,
sanrio-squishy,10212,Sanrio Squishy,Toys & Games,,N,,,,,,,5.00,,,,N,Y,15.00,,
sanrio-squishy-1,10084,Sanrio squishy,Toys & Games,,N,,,,,,,0.00,,,,N,Y,5.00,,
sanrio-stationery-set,10213,Sanrio Stationery Set,Stationery,,N,,,,,,,11.00,,,,N,Y,11.00,,
scissors,10219,Scissors,Stationery,,N,,,,,,,3.00,,,,Y,Y,5.00,20.000,
shark-bite,10220,Shark bite,Candy Toys (YLF),,N,,,,,,,0.00,,,,N,Y,7.90,,
skittles,10221,Skittles,Gummies & Candy,,N,,,,,,,0.00,,,,N,Y,2.90,,
slam-dunk,10222,Slam Dunk,Candy Toys (YLF),,N,,,,,,,3.50,,,,N,Y,6.90,,
slime,10043,Slime,Toys & Games,,N,,,,,,,0.00,,,,N,Y,9.00,,
slipper-eraser,10301,slipper eraser,Stationery,,N,,,,,,,9.00,,,,N,Y,9.00,,
small,10223,Small,Balloons & Party,,N,,,,,,,1.50,,,,N,Y,4.90,,
small-bag,10370,Small bag,Bags & Wallets,,N,,,,,,,0.00,,,,Y,Y,5.00,3.000,
small-bag-kids,10224,Small Bag Kids,Bags & Wallets,,N,,,,,,,14.00,,,,N,Y,27.50,,
small-balloon,10300,Small balloon,Balloons & Party,,N,,,,,,,0.00,,,,N,Y,5.00,,
small-candle-10pcs,10225,Small Candle 10pcs,Cake Toppers & Candles,,N,,,,,,,1.50,,,,Y,Y,4.50,86.000,
small-egg-,10228,Small egg,Gummies & Candy,,N,,,,,,,1.00,,,,N,Y,1.00,,
small-fireworks,10328,Small Fireworks,Party Supplies,,N,,,,,,,0.00,,,,N,Y,6.90,,
small-keychain,10226,Small Keychain,Keychains & Accessories,,N,,,,,,,2.00,,,,Y,Y,3.90,67.000,
small-pritzer,10000,Small pritzer,Drinks,,N,,,,,,,0.00,,,,N,Y,1.90,,
small-rainbow-lollipop,10229,Small rainbow lollipop,Lollipops,,N,,,,,,,3.00,,,,N,Y,5.90,,
small-wallet-character--,10227,Small Wallet Character,Bags & Wallets,,N,,,,,,,3.50,,,,Y,Y,7.00,26.000,0.000
snickers-&-mars,10230,Snickers & mars,Gummies & Candy,,N,,,,,,,2.00,,,,N,Y,2.00,,
snow-white-cake,10352,Snow white cake,Cartoon Cakes,,N,,,,,,,0.00,,,,N,Y,129.00,,
soap-character,10231,Soap Character,Toys & Games,,N,,,,,,,4.50,,,,N,Y,9.00,,
soft-pop-candy,10232,Soft pop candy,Candy Toys (YLF),,N,,,,,,,0.00,,,,N,Y,5.90,,
sour-stick-looney-tunes,10233,Sour stick Looney Tunes,Gummies & Candy,,N,,,,,,,1.00,,,,N,Y,2.00,,
sourdough-carrot-walnut-,10207,SOURDOUGH CARROT WALNUT,Cakes,,N,,,,,,,40.00,,,,N,Y,79.00,,
sparkle,10235,Sparkle,Gummies & Candy,,N,,,,,,,2.00,,,,N,Y,5.90,,
-sparkling-water,10001,sparkling water,Toys & Games,,N,,,,,,,5.00,,,,Y,Y,7.00,22.000,
spider-man-cake,10236,Spider-Man Cake,Cartoon Cakes,,N,,,,,,,65.00,,,,N,Y,129.00,,
spiderman-pen,10310,Spiderman pen,Stationery,,N,,,,,,,0.00,,,,Y,Y,6.00,15.000,0.000
spinner,10337,Spinner,Toys & Games,,N,,,,,,,0.00,,,,N,Y,4.00,,
sports-car,10237,Sports Car,Candy Toys (YLF),,N,,,,,,,3.00,,,,N,Y,4.90,,
spritzer-water,10163,Spritzer Water,Drinks,,N,,,,,,,0.00,,,,Y,Y,2.90,51.000,0.000
squishy-1,10239,Squishy,Toys & Games,,N,,,,,,,0.00,,,,Y,Y,15.00,15.000,
squishy-2-for-25,10017,Squishy 2 for 25,Toys & Games,,N,,,,,,,0.00,,,,N,Y,25.00,,
squishy-medium,10353,Squishy medium,Toys & Games,,N,,,,,,,0.00,,,,Y,Y,9.00,14.000,
squishy-toys,10240,Squishy toys,Toys & Games,,N,,,,,,,0.00,,,,N,Y,15.00,,
ball,10314,Squshy Ball,Toys & Games,,N,,,,,,,0.00,,,,N,Y,5.00,,
stamper-candy,10302,stamper candy,Candy Toys (YLF),,N,,,,,,,1.85,,,,N,Y,3.20,,
sticker-book,10242,Sticker Book,Stickers & Tokens,,N,,,,,,,4.90,,,,N,Y,9.00,,
stickers,10243,Stickers,Stickers & Tokens,,N,,,,,,,0.00,,,,N,Y,2.00,,
strawberry-lolipop,10244,Strawberry lolipop,Lollipops,,N,,,,,,,1.50,,,,N,Y,3.00,,
sugalova,10358,Sugalova,Gummies & Candy,,N,,,,,,,0.00,,,,Y,Y,5.00,26.000,
super-hero-squishy,10053,Super hero squishy,Toys & Games,,N,,,,,,,0.00,,,,Y,Y,15.00,4.000,
superman-,10245,Superman,Cartoon Cakes,,N,,,,,,,65.00,,,,N,Y,99.00,,
surprise-egg-??-big,10246,Surprise Egg ?? BIG,Candy Toys (YLF),,N,,,,,,,3.50,,,,N,Y,5.90,,
swan-cake,10247,Swan cake,Cartoon Cakes,,N,,,,,,,65.00,,,,N,Y,99.00,,
sweep-truck,10248,Sweep truck,Candy Toys (YLF),,N,,,,,,,4.35,,,,N,Y,7.90,,
swoguantoy,10249,Swoguantoy,Toys & Games,,N,,,,,,,0.00,,,,N,Y,39.00,,
team-of-heroes,10303,team of heroes,Toys & Games,,N,,,,,,,7.50,,,,Y,Y,15.00,2.000,0.000
ten-ring,10362,Ten ring for RM 10,Jewellery & Accessories,,N,,,,,,,0.00,,,,N,Y,10.00,,
tiger-airplane-,10251,Tiger Airplane,Toys & Games,,N,,,,,,,3.90,,,,Y,Y,15.00,1.000,0.000
toblerone-&-crunchie-chocolate,10009,Toblerone & crunchie chocolate,Chocolate & Choco Snacks,,N,,,,,,,5.90,,,,N,Y,5.90,,
tofiluk,10252,Tofiluk,Gummies & Candy,,N,,,,,,,0.00,,,,N,Y,2.00,,
token-x-2,10253,Token x 2,Stickers & Tokens,,N,,,,,,,2.50,,,,N,Y,5.00,,
topper-birthday,10254,Topper Birthday,Cake Toppers & Candles,,N,,,,,,,0.00,,,,N,Y,5.00,,
topper-hello-kitty-&-mickey-mouse,10255,Topper Hello Kitty & Mickey Mouse,Cake Toppers & Candles,,N,,,,,,,0.00,,,,N,Y,5.60,,
topper-unicorn-&-rainbow,10256,Topper Unicorn & Rainbow,Cake Toppers & Candles,,N,,,,,,,0.00,,,,N,Y,8.80,,
transformal-plane,10257,Transformal plane,Toys & Games,,N,,,,,,,0.00,,,,N,Y,15.00,,
trendy-building-1,10259,Trendy building,Toys & Games,,N,,,,,,,0.00,,,,N,Y,4.90,,
truck-cone-zone-,10260,Truck Cone Zone,Candy Toys (YLF),,N,,,,,,,4.50,,,,N,Y,7.90,,
tsum-tsum,10261,Tsum Tsum,Candy Toys (YLF),,N,,,,,,,2.00,,,,N,Y,2.90,,
tsum-tsum-heart-pop,10250,TSUM TSUM HEART POP,Candy Toys (YLF),,N,,,,,,,0.80,,,,N,Y,1.50,,
twist-pop,10262,Twist Pop,Lollipops,,N,,,,,,,4.00,,,,N,Y,7.90,,
ultimate-chocolate--1,10264,Ultimate Chocolate,Cakes,,N,,,,,,,50.00,,,,N,Y,79.00,,
ultraman-bumper-car,10265,Ultraman Bumper Car,Candy Toys (YLF),,N,,,,,,,6.00,,,,Y,Y,10.00,0.000,0.000
ultraman-cake,10267,Ultraman cake,Cartoon Cakes,,N,,,,,,,99.00,,,,N,Y,99.00,,
ultraman-choc-tablet,10266,Ultraman Choc Tablet,Candy Toys (YLF),,N,,,,,,,2.00,,,,N,Y,3.90,,
under-construction-cake,10268,Under Construction Cake,Cartoon Cakes,,N,,,,,,,65.00,,,,N,Y,99.00,,
unicorn-andle,10345,Unicorn andle,Cake Toppers & Candles,,N,,,,,,,0.00,,,,N,Y,4.90,,
unicorn-bag,10270,Unicorn Bag,Bags & Wallets,,N,,,,,,,4.00,,,,Y,Y,9.00,16.000,
unicorn,10269,Unicorn cake,Cartoon Cakes,,N,,,,,,,65.00,,,,N,Y,129.00,,
unicorn-light,10271,Unicorn Light,Candy Toys (YLF),,N,,,,,,,4.00,,,,N,Y,6.90,,
unicorn-pop,10272,Unicorn Pop,Candy Toys (YLF),,N,,,,,,,3.00,,,,N,Y,5.90,,
unicorn-surprise-eggs-been-big,10343,Unicorn surprise eggs been big,Toys & Games,,N,,,,,,,15.00,,,,N,Y,15.00,,
vending-machine-,10273,Vending machine,Candy Toys (YLF),,N,,,,,,,6.65,,,,Y,Y,9.90,16.000,0.000
vochelle,10320,Vochelle,Chocolate & Choco Snacks,,N,,,,,,,0.00,,,,N,Y,19.00,,
wacky-monkey-candy,10274,Wacky Monkey Candy,Candy Toys (YLF),,N,,,,,,,4.50,,,,N,Y,8.90,,
wafer-rolls-cup,10275,Wafer Rolls Cup,Candy Toys (YLF),,N,,,,,,,2.50,,,,N,Y,4.50,,
washing-machine,10276,Washing Machine,Candy Toys (YLF),,N,,,,,,,5.00,,,,Y,Y,8.90,21.000,
water,10277,Water,Drinks,,N,,,,,,,0.50,,,,N,Y,1.90,,
water-book-sticker,10279,Water book sticker,Toys & Games,,N,,,,,,,10.00,,,,Y,Y,10.00,8.000,
water-gun-candy,10278,Water Gun Candy,Candy Toys (YLF),,N,,,,,,,7.90,,,,Y,Y,7.90,10.000,
weekend-special-discounts,10340,Weekend special discounts,Others,,N,,,,,,,0.00,,,,N,Y,9.90,,
wobblerz-minions,10280,Wobblerz Minions,Candy Toys (YLF),,N,,,,,,,4.50,,,,Y,Y,9.00,27.000,0.000
writing-for-bento-cake,10281,Writing for bento cake,Bento Cakes,,N,,,,,,,0.00,,,,N,Y,2.00,,
writing-for-cake-panda,10344,Writing for cake panda,Bento Cakes,,N,,,,,,,0.00,,,,N,Y,1.00,,
