Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [Hashtag Sweets],Price [Hashtag Sweets],In stock [Hashtag Sweets],Low stock [Hashtag Sweets]
barbie-camera,10018,Camera,Candy Toys (YLF),,N,,,,,,,5.10,,,,Y,Y,11.00,6.000,0.000
candy-dispenser,10038,Candy dispenser,Candy Toys (YLF),,N,,,,,,,3.50,,,,N,Y,5.90,,
candy-machine,10037,Candy Machine,Candy Toys (YLF),,N,,,,,,,3.90,,,,N,Y,5.90,,
candy-pop,10039,Candy pop,Candy Toys (YLF),,N,,,,,,,0.00,,,,N,Y,3.50,,
capsule-toys,10040,Capsule toys,Toys & Games,,N,,,,,,,0.00,,,,N,Y,15.00,,
capybara-pencil-sharpener,10041,Capybara pencil sharpener,Stationery,,N,,,,,,,7.00,,,,Y,Y,7.00,13.000,
car-on-play-table,10334,Car on play table,Toys & Games,,N,,,,,,,0.00,,,,N,Y,15.00,,
caramel,10341,Caramel,Gummies & Candy,,N,,,,,,,0.00,,,,N,Y,9.90,,
chanel-cake,10042,Chanel Cake,Cartoon Cakes,,N,,,,,,,99.00,,,,N,Y,99.00,,
character-candle,10287,character candle,Cake Toppers & Candles,,N,,,,,,,7.90,,,,Y,Y,7.90,1.000,
character-chocolate-,10044,Character Chocolate,Chocolate & Choco Snacks,,N,,,,,,,5.00,,,,N,Y,9.00,,
character-squishy-small,10045,Character Squishy small,Toys & Games,,N,,,,,,,4.50,,,,Y,Y,5.00,36.000,
charm,10288,charm,Keychains & Accessories,,N,,,,,,,4.50,,,,Y,Y,9.00,48.000,
charm-1,10348,Charm,Keychains & Accessories,,N,,,,,,,0.00,,,,Y,Y,9.00,250.000,
chocho-cornet,10046,Chocho cornet,Chocolate & Choco Snacks,,N,,,,,,,3.00,,,,N,Y,3.00,,
chocho-umbrella,10047,Chocho umbrella,Gummies & Candy,,N,,,,,,,1.00,,,,N,Y,2.00,,
choco-umbrella-3-pack,10048,Choco Umbrella 3 Pack,Chocolate & Choco Snacks,,N,,,,,,,3.00,,,,N,Y,5.00,,
chocolates,10049,Chocolates,Chocolate & Choco Snacks,,N,,,,,,,0.05,,,,N,Y,0.09,,
choki-choki,10308,Choki choki,Gummies & Candy,,N,,,,,,,3.00,,,,N,Y,3.00,,
cinnamon-roll,10050,Cinnamon roll cake,Cartoon Cakes,,N,,,,,,,65.00,,,,N,Y,129.00,,
cinnamon-roll-pencil-sharpener,10051,Cinnamon roll pencil sharpener,Stationery,,N,,,,,,,7.00,6977272394530,,,Y,Y,7.00,10.000,
cinnamonrol-pencil-set,10369,Cinnamonrol pencil set,Stationery,,N,,,,,,,0.00,,,,Y,Y,12.00,1.000,
coke,10307,Coke,Drinks,,N,,,,,,,0.00,,,,N,Y,2.90,,
coloring-book,10331,Coloring book,Stationery,,N,,,,,,,0.00,48587389,,,N,Y,7.00,,
colourful-pen,10309,Colourful pen,Stationery,,N,,,,,,,3.00,,,,N,Y,3.00,,
commercial-car,10054,Commercial car,Toys & Games,,N,,,,,,,0.00,,,,N,Y,29.00,,
commercial-car-1,10055,Commercial car,Toys & Games,,N,,,,,,,0.00,,,,N,Y,29.00,,
cornet-chocho-with-toys,10056,Cornet chocho with toys,Chocolate & Choco Snacks,,N,,,,,,,5.00,,,,N,Y,5.00,,
cosmetic-mirror,10057,Cosmetic mirror,Stationery,,N,,,,,,,7.00,,,,N,Y,8.00,,
crab,10058,Crab,Toys & Games,,N,,,,,,,15.00,,,,Y,Y,15.00,2.000,
crystal-mud,10059,Crystal mud,Toys & Games,,N,,,,,,,0.00,,,,N,Y,15.00,,
cute-animals,10060,Cute animals,Candy Toys (YLF),,N,,,,,,,0.00,,,,Y,Y,8.90,15.000,0.000
cute-animals-lollipop,10061,Cute animals lollipop,Candy Toys (YLF),,N,,,,,,,0.00,,,,N,Y,5.90,,
cute-unicorn-pen,10008,Cute unicorn pen,Stationery,,N,,,,,,,3.00,,,,Y,Y,variable,12.000,
cute-water-bottle,10319,Cute water bottle,Drinks,,N,,,,,,,0.00,,,,N,Y,25.00,,
cutie-pet,10072,Cutie pet,Toys & Games,,N,,,,,,,8.90,,,,N,Y,8.90,,
cutie-pet-ejection-vehicle,10062,Cutie Pet Ejection Vehicle,Toys & Games,,N,,,,,,,9.00,,,,N,Y,15.00,,
daily-candy,10063,Daily Candy,Candy Toys (YLF),,N,,,,,,,2.20,,,,Y,Y,3.90,2.000,0.000
dinoland-cake-,10064,Dinoland Cake,Cartoon Cakes,,N,,,,,,,65.00,,,,N,Y,99.00,,
dinosaur-,10065,Dinosaur,Toys & Games,,N,,,,,,,15.00,,,,N,Y,15.00,,
dinosaur-game,10322,Dinosaur game,Toys & Games,,N,,,,,,,0.00,,,,Y,Y,10.00,4.000,
dippo-bon-chocolate-,10066,Dippo bon chocolate,Gummies & Candy,,N,,,,,,,2.00,,,,N,Y,2.00,,
dippo-choco-cornet,10067,Dippo choco cornet,Chocolate & Choco Snacks,,N,,,,,,,9.00,,,,N,Y,9.00,,
dippo-chooky,10068,Dippo chooky,Gummies & Candy,,N,,,,,,,2.00,,,,N,Y,2.00,,
dippo-mini-cone,10069,Dippo mini cone,Chocolate & Choco Snacks,,N,,,,,,,5.00,,,,N,Y,2.00,,
diy,10070,Diy,Stickers & Tokens,,N,,,,,,,10.00,5695201403559,,,N,Y,10.00,,
donut-eraser,10071,Donut eraser,Stationery,,N,,,,,,,3.00,,,,N,Y,3.00,,
doublemint-gum,10289,Doublemint gum,Gummies & Candy,,N,,,,,,,0.00,9555192501909,,,N,Y,6.50,,
egg-big,10335,Egg big,Toys & Games,,N,,,,,,,0.00,,,,N,Y,29.00,,
erasers,10365,Erasers,Stationery,,N,,,,,,,0.00,,,,Y,Y,5.00,27.000,
exquisitel-lamp-pen,10073,Exquisitel lamp pen,Stationery,,N,,,,,,,7.00,,,,Y,Y,7.00,27.000,
fan,10074,Fan candy,Candy Toys (YLF),,N,,,,,,,4.50,,,,Y,Y,7.90,5.000,0.000
fashion-jewellery,10350,Fashion jewellery,Jewellery & Accessories,,N,,,,,,,0.00,,,,N,Y,19.00,,
fashion-jewelry-charms,10324,Fashion jewelry charms,Keychains & Accessories,,N,,,,,,,0.00,,,,N,Y,19.00,,
fast-food-haribo,10342,Fast food haribo,Gummies & Candy,,N,,,,,,,0.00,,,,Y,Y,2.00,46.000,
